second,Volt
-100.0000E-09,+9.2656256311E-03
-99.8000E-09,+19.5000004023E-03
-99.6000E-09,+70.7499992568E-03
-99.4000E-09,+69.4999992847E-03
-99.2000E-09,+13.2500005420E-03
-99.0000E-09,-2.6874991017E-03
-98.8000E-09,-19.2499987315E-03
-98.6000E-09,-32.9999984242E-03
-98.4000E-09,-37.3749983264E-03
-98.2000E-09,-21.7499986757E-03
-98.0000E-09,-18.0781237577E-03
-97.8000E-09,-14.2499988433E-03
-97.6000E-09,-11.1249989131E-03
-97.4000E-09,-7.9999989830E-03
-97.2000E-09,-9.2499989551E-03
-97.0000E-09,-8.0390614821E-03
-96.8000E-09,-6.7499990109E-03
-96.6000E-09,-2.9999990948E-03
-96.4000E-09,-2.9999990948E-03
-96.2000E-09,+750.0008214E-06
-96.0000E-09,+3.4843757603E-03
-95.8000E-09,+6.3750006957E-03
-95.6000E-09,+16.3750004722E-03
-95.4000E-09,+22.6250003325E-03
-95.2000E-09,+18.8750004163E-03
-95.0000E-09,+16.7265629643E-03
-94.8000E-09,+14.5000005141E-03
-94.6000E-09,+6.3750006957E-03
-94.4000E-09,+125.0008354E-06
-94.2000E-09,-4.8749990528E-03
-94.0000E-09,-5.8124990319E-03
-93.8000E-09,-6.7499990109E-03
-93.6000E-09,-8.6249989690E-03
-93.4000E-09,-11.7499988992E-03
-93.2000E-09,-10.4999989271E-03
-93.0000E-09,-9.9140614402E-03
-92.8000E-09,-9.2499989551E-03
-92.6000E-09,-7.3749989970E-03
-92.4000E-09,-6.1249990249E-03
-92.2000E-09,-4.2499990668E-03
-92.0000E-09,-2.1406241140E-03
-91.8000E-09,+125.0008354E-06
-91.6000E-09,+15.1250005001E-03
-91.4000E-09,+60.1249994943E-03
-91.2000E-09,+77.6249991031E-03
-91.0000E-09,+51.2968746916E-03
-90.8000E-09,+23.8750003045E-03
-90.6000E-09,-19.8749987176E-03
-90.4000E-09,-32.9999984242E-03
-90.2000E-09,-39.2499982845E-03
-90.0000E-09,-33.1562484207E-03
-89.8000E-09,-26.7499985639E-03
-89.6000E-09,-15.4999988154E-03
-89.4000E-09,-11.1249989131E-03
-89.2000E-09,-6.7499990109E-03
-89.0000E-09,-7.3749989970E-03
-88.8000E-09,-7.9999989830E-03
-88.6000E-09,-4.8749990528E-03
-88.4000E-09,-1.7499991227E-03
-88.2000E-09,-499.9991506E-06
-88.0000E-09,+710.9383223E-06
-87.8000E-09,+2.0000007935E-03
-87.6000E-09,+5.1250007236E-03
-87.4000E-09,+13.8750005281E-03
-87.2000E-09,+20.7500003744E-03
-87.0000E-09,+21.0234378683E-03
-86.8000E-09,+21.3750003604E-03
-86.6000E-09,+18.2500004303E-03
-86.4000E-09,+11.3750005839E-03
-86.2000E-09,+2.0000007935E-03
-86.0000E-09,-773.4366445E-06
-85.8000E-09,-3.6249990808E-03
-85.6000E-09,-6.7499990109E-03
-85.4000E-09,-9.2499989551E-03
-85.2000E-09,-8.6249989690E-03
-85.0000E-09,-8.9374989620E-03
-84.8000E-09,-9.2499989551E-03
-84.6000E-09,-9.2499989551E-03
-84.4000E-09,-8.6249989690E-03
-84.2000E-09,-6.1249990249E-03
-84.0000E-09,-4.9140615520E-03
-83.8000E-09,-3.6249990808E-03
-83.6000E-09,-1.7499991227E-03
-83.4000E-09,+7.0000006818E-03
-83.2000E-09,+49.4999997318E-03
-83.0000E-09,+64.1874994035E-03
-82.8000E-09,+79.4999990612E-03
-82.6000E-09,+35.7500000391E-03
-82.4000E-09,-14.8749988293E-03
-82.2000E-09,-28.6249985220E-03
-82.0000E-09,-33.5468734120E-03
-81.8000E-09,-38.6249982985E-03
-81.6000E-09,-29.2499985080E-03
-81.4000E-09,-17.3749987734E-03
-81.2000E-09,-12.9999988712E-03
-81.0000E-09,-10.8906239184E-03
-80.8000E-09,-8.6249989690E-03
-80.6000E-09,-8.6249989690E-03
-80.4000E-09,-6.7499990109E-03
-80.2000E-09,-3.6249990808E-03
-80.0000E-09,-3.0390615939E-03
-79.8000E-09,-2.3749991087E-03
-79.6000E-09,+125.0008354E-06
-79.4000E-09,+2.6250007795E-03
-79.2000E-09,+11.3750005839E-03
-79.0000E-09,+15.9453129818E-03
-78.8000E-09,+20.7500003744E-03
-78.6000E-09,+22.0000003464E-03
-78.4000E-09,+18.8750004163E-03
-78.2000E-09,+11.3750005839E-03
-78.0000E-09,+7.3906256730E-03
-77.8000E-09,+3.2500007655E-03
-77.6000E-09,-2.9999990948E-03
-77.4000E-09,-6.7499990109E-03
-77.2000E-09,-8.6249989690E-03
-77.0000E-09,-9.2499989551E-03
-76.8000E-09,-9.8749989411E-03
-76.6000E-09,-8.6249989690E-03
-76.4000E-09,-8.6249989690E-03
-76.2000E-09,-6.1249990249E-03
-76.0000E-09,-5.2265615450E-03
-75.8000E-09,-4.2499990668E-03
-75.6000E-09,-2.3749991087E-03
-75.4000E-09,-499.9991506E-06
-75.2000E-09,+5.7500007097E-03
-75.0000E-09,+21.6484378543E-03
-74.8000E-09,+38.2499999833E-03
-74.6000E-09,+79.4999990612E-03
-74.4000E-09,+48.2499997597E-03
-74.2000E-09,-8.6249989690E-03
-74.0000E-09,-17.8437487630E-03
-73.8000E-09,-27.3749985499E-03
-73.6000E-09,-39.2499982845E-03
-73.4000E-09,-31.7499984521E-03
-73.2000E-09,-16.7499987874E-03
-73.0000E-09,-14.6406238346E-03
-72.8000E-09,-12.3749988852E-03
-72.6000E-09,-9.8749989411E-03
-72.4000E-09,-9.2499989551E-03
-72.2000E-09,-7.9999989830E-03
-72.0000E-09,-5.5781240371E-03
-71.8000E-09,-2.9999990948E-03
-71.6000E-09,-1.7499991227E-03
-71.4000E-09,+125.0008354E-06
-71.2000E-09,+1.3750008075E-03
-71.0000E-09,+4.1093757463E-03
-70.8000E-09,+7.0000006817E-03
-70.6000E-09,+16.3750004722E-03
-70.4000E-09,+19.5000004023E-03
-70.2000E-09,+18.2500004303E-03
-70.0000E-09,+17.0000004582E-03
-69.8000E-09,+15.7500004861E-03
-69.6000E-09,+6.3750006957E-03
-69.4000E-09,-2.3749991087E-03
-69.2000E-09,-6.1249990249E-03
-69.0000E-09,-7.3749989970E-03
-68.8000E-09,-8.6249989690E-03
-68.6000E-09,-8.6249989690E-03
-68.4000E-09,-7.9999989830E-03
-68.2000E-09,-8.6249989690E-03
-68.0000E-09,-8.3515614751E-03
-67.8000E-09,-7.9999989830E-03
-67.6000E-09,-5.4999990389E-03
-67.4000E-09,-4.2499990668E-03
-67.2000E-09,-2.3749991087E-03
-67.0000E-09,+46.8758371E-06
-66.8000E-09,+2.6250007796E-03
-66.6000E-09,+29.5000001789E-03
-66.4000E-09,+76.9999991171E-03
-66.2000E-09,+58.8749995222E-03
-66.0000E-09,+31.2968751386E-03
-65.8000E-09,+2.6250007795E-03
-65.6000E-09,-24.2499986198E-03
-65.4000E-09,-35.4999983683E-03
-65.2000E-09,-32.9999984242E-03
-65.0000E-09,-27.2187485534E-03
-64.8000E-09,-21.1249986896E-03
-64.6000E-09,-15.4999988154E-03
-64.4000E-09,-11.7499988992E-03
-64.2000E-09,-9.8749989411E-03
-64.0000E-09,-9.6015614472E-03
-63.8000E-09,-9.2499989550E-03
-63.6000E-09,-4.2499990668E-03
-63.4000E-09,-1.1249991367E-03
-63.2000E-09,+1.3750008075E-03
-63.0000E-09,+2.2734382874E-03
-62.8000E-09,+3.2500007656E-03
-62.6000E-09,+7.0000006817E-03
-62.4000E-09,+17.6250004442E-03
-62.2000E-09,+22.0000003464E-03
-62.0000E-09,+19.8515628945E-03
-61.8000E-09,+17.6250004442E-03
-61.6000E-09,+13.8750005280E-03
-61.4000E-09,+7.0000006817E-03
-61.2000E-09,+1.3750008075E-03
-61.0000E-09,-1.0859366375E-03
-60.8000E-09,-3.6249990808E-03
-60.6000E-09,-6.7499990109E-03
-60.4000E-09,-8.6249989690E-03
-60.2000E-09,-11.7499988992E-03
-60.0000E-09,-11.4765614053E-03
-59.8000E-09,-11.1249989131E-03
-59.6000E-09,-8.6249989690E-03
-59.4000E-09,-6.1249990249E-03
-59.2000E-09,-3.6249990808E-03
-59.0000E-09,-3.9374990738E-03
-58.8000E-09,-4.2499990668E-03
-58.6000E-09,-1.7499991227E-03
-58.4000E-09,+18.2500004304E-03
-58.2000E-09,+68.2499993127E-03
-58.0000E-09,+68.2499993127E-03
-57.8000E-09,+68.2499993126E-03
-57.6000E-09,+10.1250006118E-03
-57.4000E-09,-21.7499986757E-03
-57.2000E-09,-34.2499983963E-03
-57.0000E-09,-35.1874983753E-03
-56.8000E-09,-36.1249983543E-03
-56.6000E-09,-22.3749986617E-03
-56.4000E-09,-14.8749988293E-03
-56.2000E-09,-8.6249989690E-03
-56.0000E-09,-7.4140614961E-03
-55.8000E-09,-6.1249990249E-03
-55.6000E-09,-7.9999989830E-03
-55.4000E-09,-4.2499990668E-03
-55.2000E-09,-2.3749991087E-03
-55.0000E-09,-2.1015616148E-03
-54.8000E-09,-1.7499991227E-03
-54.6000E-09,+2.0000007935E-03
-54.4000E-09,+6.3750006957E-03
-54.2000E-09,+17.0000004582E-03
-54.0000E-09,+19.4218754041E-03
-53.8000E-09,+22.0000003464E-03
-53.6000E-09,+20.7500003744E-03
-53.4000E-09,+17.6250004442E-03
-53.2000E-09,+9.5000006258E-03
-53.0000E-09,+4.8906257289E-03
-52.8000E-09,+125.0008354E-06
-52.6000E-09,-4.2499990668E-03
-52.4000E-09,-6.1249990249E-03
-52.2000E-09,-7.3749989970E-03
-52.0000E-09,-7.3749989970E-03
-51.8000E-09,-7.3749989970E-03
-51.6000E-09,-7.3749989970E-03
-51.4000E-09,-8.6249989690E-03
-51.2000E-09,-7.3749989970E-03
-51.0000E-09,-6.1640615240E-03
-50.8000E-09,-4.8749990528E-03
-50.6000E-09,-2.3749991087E-03
-50.4000E-09,+125.0008354E-06
-50.2000E-09,+13.8750005281E-03
-50.0000E-09,+36.8046875156E-03
-49.8000E-09,+60.7499994804E-03
-49.6000E-09,+74.4999991729E-03
-49.4000E-09,+20.1250003883E-03
-49.2000E-09,-17.3749987735E-03
-49.0000E-09,-24.1328111224E-03
-48.8000E-09,-31.1249984661E-03
-48.6000E-09,-39.2499982845E-03
-48.4000E-09,-26.7499985639E-03
-48.2000E-09,-16.7499987874E-03
-48.0000E-09,-15.2265613215E-03
-47.8000E-09,-13.6249988573E-03
-47.6000E-09,-8.6249989690E-03
-47.4000E-09,-7.9999989830E-03
-47.2000E-09,-4.8749990528E-03
-47.0000E-09,-3.3515615869E-03
-46.8000E-09,-1.7499991227E-03
-46.6000E-09,+125.0008354E-06
-46.4000E-09,+125.0008354E-06
-46.2000E-09,+750.0008214E-06
-46.0000E-09,+4.6953132333E-03
-45.8000E-09,+8.8750006398E-03
-45.6000E-09,+18.2500004303E-03
-45.4000E-09,+19.5000004023E-03
-45.2000E-09,+15.7500004861E-03
-45.0000E-09,+12.0390630691E-03
-44.8000E-09,+8.2500006538E-03
-44.6000E-09,+1.3750008074E-03
-44.4000E-09,-3.6249990808E-03
-44.2000E-09,-7.3749989970E-03
-44.0000E-09,-7.9999989830E-03
-43.8000E-09,-8.6249989690E-03
-43.6000E-09,-7.9999989830E-03
-43.4000E-09,-8.6249989690E-03
-43.2000E-09,-8.6249989690E-03
-43.0000E-09,-8.6249989690E-03
-42.8000E-09,-8.6249989690E-03
-42.6000E-09,-5.4999990389E-03
-42.4000E-09,-2.3749991087E-03
-42.2000E-09,+1.3750008075E-03
-42.0000E-09,+5.3203132193E-03
-41.8000E-09,+9.5000006260E-03
-41.6000E-09,+50.7499997039E-03
-41.4000E-09,+79.4999990611E-03
-41.2000E-09,+33.8750000810E-03
-41.0000E-09,+10.2812506083E-03
-40.8000E-09,-14.2499988433E-03
-40.6000E-09,-27.3749985500E-03
-40.4000E-09,-34.8749983823E-03
-40.2000E-09,-26.1249985779E-03
-40.0000E-09,-20.9296861940E-03
-39.8000E-09,-15.4999988154E-03
-39.6000E-09,-14.8749988293E-03
-39.4000E-09,-10.4999989271E-03
-39.2000E-09,-8.6249989690E-03
-39.0000E-09,-7.4140614961E-03
-38.8000E-09,-6.1249990249E-03
-38.6000E-09,-2.3749991087E-03
-38.4000E-09,-1.1249991367E-03
-38.2000E-09,+1.3750008075E-03
-38.0000E-09,+2.8984382734E-03
-37.8000E-09,+4.5000007376E-03
-37.6000E-09,+13.8750005281E-03
-37.4000E-09,+21.3750003604E-03
-37.2000E-09,+21.3750003604E-03
-37.0000E-09,+19.8125003953E-03
-36.8000E-09,+18.2500004303E-03
-36.6000E-09,+12.6250005560E-03
-36.4000E-09,+3.8750007516E-03
-36.2000E-09,-2.9999990948E-03
-36.0000E-09,-5.4609365398E-03
-35.8000E-09,-7.9999989830E-03
-35.6000E-09,-11.7499988992E-03
-35.4000E-09,-11.1249989131E-03
-35.2000E-09,-10.4999989271E-03
-35.0000E-09,-9.9140614402E-03
-34.8000E-09,-9.2499989550E-03
-34.6000E-09,-5.4999990389E-03
-34.4000E-09,-4.8749990528E-03
-34.2000E-09,-3.6249990808E-03
-34.0000E-09,-3.3515615869E-03
-33.8000E-09,-2.9999990947E-03
-33.6000E-09,+3.8750007517E-03
-33.4000E-09,+38.2499999834E-03
-33.2000E-09,+78.2499990891E-03
-33.0000E-09,+62.9374994314E-03
-32.8000E-09,+46.9999997875E-03
-32.6000E-09,-7.9999989831E-03
-32.4000E-09,-27.9999985360E-03
-32.2000E-09,-37.9999983124E-03
-32.0000E-09,-33.7421859076E-03
-31.8000E-09,-29.2499985080E-03
-31.6000E-09,-16.7499987874E-03
-31.4000E-09,-14.2499988433E-03
-31.2000E-09,-9.8749989411E-03
-31.0000E-09,-9.2890614542E-03
-30.8000E-09,-8.6249989690E-03
-30.6000E-09,-6.7499990109E-03
-30.4000E-09,-4.2499990668E-03
-30.2000E-09,-4.2499990668E-03
-30.0000E-09,-2.4531241070E-03
-29.8000E-09,-499.9991506E-06
-29.6000E-09,+2.0000007935E-03
-29.4000E-09,+7.6250006678E-03
-29.2000E-09,+20.1250003884E-03
-29.0000E-09,+21.6484378543E-03
-28.8000E-09,+23.2500003185E-03
-28.6000E-09,+20.1250003883E-03
-28.4000E-09,+13.8750005280E-03
-28.2000E-09,+6.3750006957E-03
-28.0000E-09,+3.2890632647E-03
-27.8000E-09,+125.0008354E-06
-27.6000E-09,-5.4999990389E-03
-27.4000E-09,-7.9999989830E-03
-27.2000E-09,-6.7499990109E-03
-27.0000E-09,-7.6874989900E-03
-26.8000E-09,-8.6249989690E-03
-26.6000E-09,-8.6249989690E-03
-26.4000E-09,-6.7499990109E-03
-26.2000E-09,-4.2499990668E-03
-26.0000E-09,-4.5624990598E-03
-25.8000E-09,-4.8749990528E-03
-25.6000E-09,-3.6249990808E-03
-25.4000E-09,+2.0000007936E-03
-25.2000E-09,+30.1250001649E-03
-25.0000E-09,+52.4296871664E-03
-24.8000E-09,+75.7499991450E-03
-24.6000E-09,+56.9999995640E-03
-24.4000E-09,-499.9991507E-06
-24.2000E-09,-22.9999986477E-03
-24.0000E-09,-27.9218735377E-03
-23.8000E-09,-32.9999984242E-03
-23.6000E-09,-31.7499984521E-03
-23.4000E-09,-19.2499987315E-03
-23.2000E-09,-16.1249988014E-03
-23.0000E-09,-14.3281238415E-03
-22.8000E-09,-12.3749988852E-03
-22.6000E-09,-9.8749989411E-03
-22.4000E-09,-8.6249989690E-03
-22.2000E-09,-4.2499990668E-03
-22.0000E-09,-3.6640615799E-03
-21.8000E-09,-2.9999990948E-03
-21.6000E-09,-1.7499991227E-03
-21.4000E-09,-499.9991506E-06
-21.2000E-09,+6.3750006957E-03
-21.0000E-09,+12.1562505665E-03
-20.8000E-09,+18.2500004303E-03
-20.6000E-09,+23.2500003185E-03
-20.4000E-09,+19.5000004023E-03
-20.2000E-09,+13.2500005420E-03
-20.0000E-09,+8.6406256450E-03
-19.8000E-09,+3.8750007516E-03
-19.6000E-09,-1.1249991367E-03
-19.4000E-09,-6.1249990249E-03
-19.2000E-09,-8.6249989690E-03
-19.0000E-09,-8.9374989620E-03
-18.8000E-09,-9.2499989551E-03
-18.6000E-09,-8.6249989690E-03
-18.4000E-09,-7.9999989830E-03
-18.2000E-09,-7.3749989970E-03
-18.0000E-09,-7.3749989970E-03
-17.8000E-09,-7.3749989970E-03
-17.6000E-09,-6.7499990109E-03
-17.4000E-09,-2.3749991087E-03
-17.2000E-09,+2.6250007795E-03
-17.0000E-09,+11.7656255752E-03
-16.8000E-09,+21.3750003605E-03
-16.6000E-09,+70.1249992708E-03
-16.4000E-09,+68.8749992986E-03
-16.2000E-09,+10.1250006118E-03
-16.0000E-09,-5.4999990389E-03
-15.8000E-09,-21.7499986757E-03
-15.6000E-09,-33.6249984102E-03
-15.4000E-09,-34.8749983823E-03
-15.2000E-09,-21.1249986896E-03
-15.0000E-09,-18.3906237507E-03
-14.8000E-09,-15.4999988153E-03
-14.6000E-09,-11.7499988992E-03
-14.4000E-09,-7.9999989830E-03
-14.2000E-09,-8.6249989690E-03
-14.0000E-09,-5.8906240301E-03
-13.8000E-09,-2.9999990947E-03
-13.6000E-09,-1.1249991367E-03
-13.4000E-09,-1.7499991227E-03
-13.2000E-09,+125.0008354E-06
-13.0000E-09,+1.9218757952E-03
-12.8000E-09,+3.8750007516E-03
-12.6000E-09,+15.1250005001E-03
-12.4000E-09,+20.7500003744E-03
-12.2000E-09,+20.1250003884E-03
-12.0000E-09,+18.2890629294E-03
-11.8000E-09,+16.3750004722E-03
-11.6000E-09,+8.2500006538E-03
-11.4000E-09,+1.3750008074E-03
-11.2000E-09,-2.3749991087E-03
-11.0000E-09,-4.5234365607E-03
-10.8000E-09,-6.7499990109E-03
-10.6000E-09,-7.9999989830E-03
-10.4000E-09,-10.4999989271E-03
-10.2000E-09,-11.1249989131E-03
-10.0000E-09,-10.5390614262E-03
-9.8000E-09,-9.8749989411E-03
-9.6000E-09,-8.6249989690E-03
-9.4000E-09,-5.4999990389E-03
-9.2000E-09,-2.9999990948E-03
-9.0000E-09,-2.1015616148E-03
-8.8000E-09,-1.1249991366E-03
-8.6000E-09,+12.0000005701E-03
-8.4000E-09,+60.7499994804E-03
-8.2000E-09,+73.8749991869E-03
-8.0000E-09,+48.1718747614E-03
-7.8000E-09,+21.3750003603E-03
-7.6000E-09,-20.4999987036E-03
-7.4000E-09,-31.7499984522E-03
-7.2000E-09,-37.9999983124E-03
-7.0000E-09,-31.2812484626E-03
-6.8000E-09,-24.2499986198E-03
-6.6000E-09,-14.2499988433E-03
-6.4000E-09,-11.1249989131E-03
-6.2000E-09,-7.9999989830E-03
-6.0000E-09,-8.3124989760E-03
-5.8000E-09,-8.6249989690E-03
-5.6000E-09,-5.4999990389E-03
-5.4000E-09,-2.3749991087E-03
-5.2000E-09,-1.7499991227E-03
-5.0000E-09,-851.5616428E-06
-4.8000E-09,+125.0008354E-06
-4.6000E-09,+1.3750008075E-03
-4.4000E-09,+12.0000005700E-03
-4.2000E-09,+22.0000003465E-03
-4.0000E-09,+21.3750003604E-03
-3.8000E-09,+20.7500003744E-03
-3.6000E-09,+18.2500004303E-03
-3.4000E-09,+13.2500005420E-03
-3.2000E-09,+3.2500007655E-03
-3.0000E-09,-148.4366585E-06
-2.8000E-09,-3.6249990808E-03
-2.6000E-09,-7.3749989970E-03
-2.4000E-09,-9.8749989411E-03
-2.2000E-09,-11.7499988992E-03
-2.0000E-09,-11.1640614123E-03
-1.8000E-09,-10.4999989271E-03
-1.6000E-09,-7.3749989970E-03
-1.4000E-09,-3.6249990808E-03
-1.2000E-09,-2.9999990948E-03
-1.0000E-09,-2.1015616148E-03
-800.0E-12,-1.1249991367E-03
-600.0E-12,+750.0008215E-06
-400.0E-12,+10.1250006120E-03
-200.0E-12,+50.1249997178E-03
